Current GW: 10

Performance:
+------------------+-----+------+---------------+----------+----------+-----------+-----------+------------+------------+-------------+--------------+-------------+-------------+-------------+
|       Name       | Pos | Team | 10k Ownership | GW 8 Pts | GW 9 Pts | GW 10 Pts | Total Pts | GW 8 Price | GW 9 Price | GW 10 Price | Price Change |  GW 11 Fxt  |  GW 12 Fxt  |  GW 13 Fxt  |
+------------------+-----+------+---------------+----------+----------+-----------+-----------+------------+------------+-------------+--------------+-------------+-------------+-------------+
|      Salah       | MID | LIV  |     100.0%    |    13    |    24    |     5     |     42    |   £12.7    |   £12.8    |    £12.9    |     £0.2     | WHU (A) (4) | ARS (H) (3) | SOU (H) (2) |
|    Livramento    | DEF | SOU  |     88.14%    |    6     |    9     |     6     |     21    |    £4.2    |    £4.3    |     £4.4    |     £0.2     | AVL (H) (3) | NOR (A) (2) | LIV (A) (5) |
| Alexander-Arnold | DEF | LIV  |     83.56%    |    6     |    10    |     1     |     17    |    £7.5    |    £7.5    |     £7.6    |     £0.1     | WHU (A) (4) | ARS (H) (3) | SOU (H) (2) |
|     Antonio      | FOR | WHU  |     83.23%    |    1     |    7     |     2     |     10    |    £8.1    |    £8.1    |     £8.2    |     £0.1     | LIV (H) (4) | WOL (A) (2) | MCI (A) (5) |
|     Raphinha     | MID | LEE  |     71.82%    |    0     |    1     |     9     |     10    |    £6.6    |    £6.7    |     £6.7    |     £0.1     | LEI (H) (3) | TOT (A) (3) | BHA (A) (3) |
|     Cancelo      | DEF | MCI  |     71.16%    |    6     |    1     |     2     |     9     |    £6.2    |    £6.3    |     £6.4    |     £0.2     | MUN (A) (4) | EVE (H) (3) | WHU (H) (4) |
|      Foster      |  GK | WAT  |     63.39%    |    1     |    1     |     2     |     4     |    £4.0    |    £4.0    |     £4.1    |     £0.1     | ARS (A) (4) | MUN (H) (4) | LEI (A) (3) |
|      Foden       | MID | MCI  |     62.2%     |    6     |    18    |     2     |     26    |    £8.0    |    £8.0    |     £8.2    |     £0.2     | MUN (A) (4) | EVE (H) (3) | WHU (H) (4) |
|     Ramsdale     |  GK | ARS  |     53.3%     |    2     |    3     |     10    |     15    |    £4.6    |    £4.6    |     £4.6    |     £0.0     | WAT (H) (2) | LIV (A) (5) | NEW (H) (2) |
